# id: cmip5_model_data_table
# title: Sea Ice Area climatologies and 21st century change in the CMIP5 and CMIP6 multi-model ensembles
# summary: This dataset comprises summary statistics regarding historical and projected Southern Hemisphere total sea ice area (SIA) and 21st century global temperature change (dTAS), evaluated from the multi-model ensembles contributing to CMIP5 and CMIP6 (Coupled Model Intercomparison Project phases 5 and 6). The metrics are evaluated for two climatological periods (1979-2014 and 2081-2100) from a number of CMIP experiments; historical, and ScenarioMIP or RCP runs. These metrics were calculated to calculate projections of future Antarctic sea ice loss, and drivers of ensemble spread in this variable, for Holmes et al. (2022) "Antarctic sea ice projections constrained by historical ice cover and future global temperature change"
# keywords: CMIP5, CMIP6, Climate Projections, Sea Ice
# authors: Caroline Holmes https://orcid.org/0000-0002-3134-555X
# institution: British Antarctic Survey
# acknowledgement: Caroline Holmes was funded under as part of the British Antarctic Survey Polar Science for Planet Earth Programme and under NERC large grant NE/N01829X/1.
# comment: This table contains the model name and modelling centre for each model in the analysis, the ensemble member ('RunID') and the forcing run used to extend historical data to 2014 ('Extension'). Other headers give the relevant variable name (sea ice area SIA and global mean surface temperature TAS; hist for historical and dSIA etc for future change) and the CMIP experiment from which data was taken. 'ECSexists' and 'TCRexists' indicate the availability of Equilibrium Climate Sensitivity (ECS) and Transient Climate Response (TCR) respectively. The details of the CMIP5 experiment protocol are given in Taylor et al (2012):
# : Taylor, K. E., Stouffer, R. J., & Meehl, G. A. (2012). An overview of CMIP5 and the experiment design. Bulletin of the American Meteorological Society, 93(4), 485-498. https://doi.org/10.1175/BAMS-D-11-00094.1
# references: Holmes, C. R., Bracegirdle, T. J., Holland, P. R. (2022). Antarctic sea ice projections constrained by historical ice cover and future global temperature change. https://doi.org/10.1029/2021GL097413
# license: http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Model,Centre,RunID,Extension_to_2014,SIAhist Feb (Mkm2),dSIA rcp26 Feb (Mkm2),dSIA rcp45 Feb (Mkm2),dSIA rcp85 Feb (Mkm2),Exceedance year Feb rcp85,SIAhist Sep (Mkm2),dSIA rcp26 Sep (Mkm2),dSIA rcp45 Sep (Mkm2),dSIA rcp85 Sep (Mkm2),dTAS Ann rcp26 (deg C),dTAS Ann rcp45 (deg C),dTAS Ann rcp85 (deg C),ECSexists,TCRexists
bcc-csm1-1-m,BCC,r1i1p1,rcp45,0.57612288,-0.1884354055,-0.3464211971,-0.4832317382,2070,16.2500553131,0.9139328003,-0.5755968094,-4.2680692673,0.7446567772,1.4272009459,3.2393657504,True,True
bcc-csm1-1,BCC,r1i1p1,rcp45,1.4833759069,-0.4798929691,-0.6526122093,-1.2121035457,>2100,18.8597202301,-2.7275714874,-1.3176326752,-6.3003826141,0.8133125756,1.5532457961,3.3678382746,True,True
CanESM2,CCCma,r1i1p1,rcp85,2.3569336768,-0.6970423364,,-1.780708979,>2100,19.5337357165,-1.972307199,,-6.1265305304,1.4263018433,,4.4460426889,True,True
CNRM-CM5,CNRM-CERFACS,r1i1p1,rcp45,0.0194874909,-0.0111748036,-0.0177979181,-0.0194767724,1954,14.9105815887,-3.6541938782,-6.0672740936,-9.0242810249,0.9909508029,1.8790011527,3.483169956,True,True
CSIRO-Mk3-6-0,CSIRO-QCCCE,r1i1p1,rcp45,6.7628700448,-1.2413438915,-1.8973373642,-3.4100092242,>2100,17.2385138503,-2.9182412492,-4.0890173532,-6.4734910992,1.4433070947,2.2114951094,4.0330401643,True,True
IPSL-CM5A-LR,IPSL,r1i1p1,rcp45,0.4150769413,-0.0679928362,-0.0787163675,-0.2768826336,2075,15.736489296,-2.2675228119,-2.3132238388,-5.7722501755,1.2571239224,2.1523152319,4.4955027353,True,True
IPSL-CM5A-MR,IPSL,r1i1p1,rcp45,0.1855154335,-0.0707027763,-0.1347181126,-0.1604395658,2001,12.7445602417,-2.2865972519,-3.0655298233,-3.4569578171,1.0239583588,2.1898661544,4.3421934187,False,True
FGOALS-g2,LASG-CESS,r1i1p1,rcp45,4.3421621323,0.5343565941,-0.0220913887,-1.7050714493,>2100,18.5529155731,0.5449962616,-1.169467926,-5.3460845947,0.5326612159,1.3108856561,3.0620742659,True,True
MIROC-ESM-CHEM,MIROC,r1i1p1,rcp45,1.9790549278,-0.7466583252,-1.1073063612,-1.5659968853,>2100,20.0335483551,-4.4097356796,-6.2333602905,-8.4538145065,1.6273107282,2.4953669244,4.9033952903,False,False
MIROC-ESM,MIROC,r1i1p1,rcp45,1.8262225389,-0.6015018225,-0.9372814298,-1.3054089546,>2100,19.2756023407,-4.0470666885,-5.4063425064,-7.6900024414,1.6092288438,2.4122497891,4.6523682162,True,True
MIROC5,MIROC,r1i1p1,rcp45,0.0505736433,0.0012689941,-0.0103992261,-0.0158016533,1954,4.7994408607,-0.0965189934,-0.2962527275,-0.1732473373,1.0049471539,1.6869437158,3.325213141,True,True
HadGEM2-ES,MOHC,r1i1p1,rcp45,1.3101205826,-0.2070360184,-0.5193054676,-0.9541370869,>2100,13.9095401764,-1.1288833618,-2.1715183258,-5.7497968674,1.3572455603,2.4966035573,4.6392370104,True,True
MPI-ESM-LR,MPI-M,r1i1p1,rcp45,0.663703382,-0.1499762535,-0.2875685692,-0.5523772463,2086,11.2531957626,0.0118665695,-1.4417228699,-4.044983387,0.6816261077,1.5621463167,3.5627234953,True,True
MPI-ESM-MR,MPI-M,r1i1p1,rcp45,0.5458458662,-0.2346961796,-0.3860811889,-0.4907317162,2072,12.2494869232,-0.7694168091,-2.2866573334,-4.0375900269,0.762986695,1.6823010827,3.5100150412,True,True
MRI-CGCM3,MRI,r1i1p1,rcp45,2.5209288597,-1.0239416361,-1.5888296962,-1.9362257719,>2100,18.4450569153,-2.1925201416,-3.3839435577,-4.8814640045,0.9156628305,1.6315003751,3.2112883136,True,True
GISS-E2-H,NASA-GISS,r1i1p1,rcp45,0.2827586887,-0.1216807729,-0.1210144943,-0.1616379571,>2100,7.3004657791,-1.3148738817,-1.8261454381,-3.5104294813,0.6690983067,1.4876816082,2.8772050522,True,True
GISS-E2-R,NASA-GISS,r1i1p1,rcp45,0.2466465241,-0.0908187684,-0.1232469189,-0.149292572,2061,10.3895909916,-1.1761675855,-1.3956238591,-1.5943860446,0.4027822141,1.1554376409,2.4774826888,True,True
CCSM4,NCAR,r1i1p1,rcp45,6.1859531403,-0.5632677078,-1.6714897156,-3.9129414558,>2100,19.9298725128,-1.3340244293,-2.6421203613,-6.4420614243,0.8239335848,1.6117395067,3.5932443805,True,True
NorESM1-M,NCC,r1i1p1,rcp45,3.7113962173,-0.0839307308,-0.2312567234,-1.178003788,>2100,16.013715744,-0.0256786346,-0.4137601852,-2.2756023407,0.8458191644,1.5983273554,3.1816548734,True,True
NorESM1-ME,NCC,r1i1p1,rcp45,5.668050766,0.05098629,-0.415596962,-1.8471882343,>2100,19.5407600403,-0.5303039551,-1.2184295654,-3.6479253769,0.9078849875,1.6369147807,3.3356557956,False,False
GFDL-CM3,NOAA-GFDL,r1i1p1,rcp45,0.2167173028,-0.026241973,0.0796337128,-0.0376959592,>2100,8.9557628632,-0.4608812332,1.1706666946,-0.2969455719,1.848185775,2.6468106488,4.6059477395,True,True
