# id: cmip6_model_data_table
# title: Sea Ice Area climatologies and 21st century change in the CMIP5 and CMIP6 multi-model ensembles
# summary: This dataset comprises summary statistics regarding historical and projected Southern Hemisphere total sea ice area (SIA) and 21st century global temperature change (dTAS), evaluated from the multi-model ensembles contributing to CMIP5 and CMIP6 (Coupled Model Intercomparison Project phases 5 and 6). The metrics are evaluated for two climatological periods (1979-2014 and 2081-2100) from a number of CMIP experiments; historical, and ScenarioMIP or RCP runs. These metrics were calculated to calculate projections of future Antarctic sea ice loss, and drivers of ensemble spread in this variable, for Holmes et al. (2022) "Antarctic sea ice projections constrained by historical ice cover and future global temperature change"
# keywords: CMIP5, CMIP6, Climate Projections, Sea Ice
# authors: Caroline Holmes https://orcid.org/0000-0002-3134-555X
# institution: British Antarctic Survey
# acknowledgement: Caroline Holmes was funded under as part of the British Antarctic Survey Polar Science for Planet Earth Programme and under NERC large grant NE/N01829X/1.
# comment: This table contains the model name and modelling centre for each model in the analysis, the ensemble member ('RunID') and whether SIA was available pre-calculated as CMIP variable 'siareas' or was calculated by the author from variable 'siconc' ('source'). Other headers give the relevant variable name (sea ice area SIA and global mean surface temperature TAS; hist for historical and dSIA etc for future change) and the CMIP experiment from which data was taken. 'ECSexists' and 'TCRexists' indicate the availability of Equilibrium Climate Sensitivity (ECS) and Transient Climate Response (TCR) respectively. The details of the experiment protocol are given in O'Neill et al (2016):
# : O'Neill, B. C., Tebaldi, C., Vuuren, D. P. V., Eyring, V., Friedlingstein, P., Hurtt, G., et al. (2016). The scenario model intercomparison project (ScenarioMIP) for CMIP6. Geoscientific Model Development, 9(9), 3461-3482. https://doi.org/10.5194/gmd-9-3461-2016
# references: Holmes, C. R., Bracegirdle, T. J., Holland, P. R. (2022). Antarctic sea ice projections constrained by historical ice cover and future global temperature change. https://doi.org/10.1029/2021GL097413
# license: http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
Model,Centre,RunID,source,SIAhist Feb (Mkm2),dSIA ssp126 Feb (Mkm2),dSIA ssp245 Feb (Mkm2),dSIA ssp585 Feb (Mkm2),Exceedance year Feb ssp585,SIAhist Sep (Mkm2),dSIA ssp126 Sep (Mkm2),dSIA ssp245 Sep (Mkm2),dSIA ssp585 Sep (Mkm2),dTAS Ann ssp126 (deg C),dTAS Ann ssp245 (deg C),dTAS Ann ssp585 (deg C),ECSexists,TCRexists
BCC-CSM2-MR,BCC,r1i1p1f1,siconc,0.344278604,-0.229810253,-0.258465692,-0.296101384,2020,12.76212215,-3.03663826,-4.153862953,-5.820560932,1.067529283,1.978227352,3.483470173,True,True
CAMS-CSM1-0,CAMS,r1i1p1f1,siconc,0.008018177,-0.00363904,-0.005027856,-0.005704754,1954,13.81106377,-1.744997025,-3.253657341,-4.161070824,0.794302571,1.426896305,2.612399451,True,True
FGOALS-f3-L,CAS,r1i1p1f1,siconc,0.288877845,-0.193581089,-0.174095616,-0.264060466,2046,14.26227474,-2.210123062,-1.818580627,-4.606259346,1.085887465,1.960906734,3.773049935,True,True
CanESM5,CCCma,r1i1p1f1,siconc,3.953030109,-0.640501022,-1.574933767,-3.305443168,>2100,17.84834862,-1.020786285,-2.510343552,-7.031597137,1.875973734,3.210690908,6.013328041,True,True
CNRM-CM6-1,CNRM-CERFACS,r1i1p1f2,siareas,0.986775637,-0.62730965,-0.848144278,-0.979047148,2068,17.64448357,-2.738778114,-4.929189682,-10.48954582,1.459665108,2.479715236,4.899576537,True,True
CNRM-CM6-1-HR,CNRM-CERFACS,r1i1p1f2,siareas,0.552753091,-0.513410199,-0.547035833,-0.552315276,2048,16.0863781,-7.381763458,-10.61479521,-12.90146852,1.879720434,2.960688109,4.923933582,True,True
ACCESS-ESM1-5,CSIRO,r1i1p1f1,siareas,2.196027994,-0.400204182,-0.803910255,-1.502353907,>2100,14.21571827,-0.494318008,-2.051641464,-4.99538517,1.51504866,2.489541245,4.146130037,True,True
ACCESS-CM2,CSIRO-ARCCSS,r1i1p1f1,siareas,0.559622884,-0.300069064,-0.472405218,-0.527563132,2063,13.67536354,-2.484088898,-4.273479462,-6.710069656,2.064812006,2.976968929,5.02354033,True,True
FIO-ESM-2-0,FIO-QLNM,r1i1p1f1,siconc,2.082577705,-0.852318645,-1.518073261,,,15.13683033,-2.156559944,-4.00884819,,1.216543516,2.33630823,,False,False
INM-CM4-8,INM,r1i1p1f1,siareas,0.254335999,-0.023514122,-0.201572906,-0.251466332,2007,9.122918129,-0.626336098,-1.926464081,-3.829433441,0.79084015,1.583680138,3.080636836,True,True
INM-CM5-0,INM,r1i1p1f1,siareas,0.964514017,-0.307890773,-0.574305624,-0.867135413,2079,11.97610092,-0.841108322,-2.18514061,-3.981431007,0.865540797,1.677046178,3.002260351,True,False
