# id: regression_statistics
# title: Sea Ice Area climatologies and 21st century change in the CMIP5 and CMIP6 multi-model ensembles
# summary: This dataset comprises summary statistics regarding historical and projected Southern Hemisphere total sea ice area (SIA) and 21st century global temperature change (dTAS), evaluated from the multi-model ensembles contributing to CMIP5 and CMIP6 (Coupled Model Intercomparison Project phases 5 and 6). The metrics are evaluated for two climatological periods (1979-2014 and 2081-2100) from a number of CMIP experiments; historical, and ScenarioMIP or RCP runs. These metrics were calculated to calculate projections of future Antarctic sea ice loss, and drivers of ensemble spread in this variable, for Holmes et al. (2022) "Antarctic sea ice projections constrained by historical ice cover and future global temperature change"
# keywords: CMIP5, CMIP6, Climate Projections, Sea Ice
# authors: Caroline Holmes https://orcid.org/0000-0002-3134-555X
# institution: British Antarctic Survey
# acknowledgement: Caroline Holmes was funded under as part of the British Antarctic Survey Polar Science for Planet Earth Programme and under NERC large grant NE/N01829X/1.
# comment: For each combination of forcing scenario, dataset (i.e. CMIP5 or CMIP6 or special subsets therein) and season (February or September) and for each pair of variables named 'xname' and 'yname', the datafile contains full regression statistics:
# : * ensemble minimum, mean and max (as in Holmes et al. (2022) Table 1) and standard deviation of each variable
# : * r2 and its p-value, regression slope and intercept
# : * Where relevant, the constrained prediction, ; this constitutes the central prediction, 95% confidence interval, and 95% prediction interval. These correspond to the values in Holmes et al (2022) Figure 1b and 1d.
# : * There are 71 data rows: these correspond to 60 standard cases ((2 seasons)*(3 forcing scenarios)*(2 generations, CMIP5 and CMIP6) for 5 variable pairs (SIAhist:dSIA, SIAhist:dTAS, dTAS:dSIA, ECS:dSIA, and the multiple regressions)) plus eleven special cases for subsets of all models.
# : * All SIA (Sea Ice Area) values have units Mkm2 and temperatures have units deg C.
# references: Holmes, C. R., Bracegirdle, T. J., Holland, P. R. (2022). Antarctic sea ice projections constrained by historical ice cover and future global temperature change. https://doi.org/10.1029/2021GL097413
# license: http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
dataset,future experiment,n models,x name,y name,x min,x mean,x max,x standard deviation,y min,y mean,ymax,y standard deviation,r2,pval,intercept,slope,"95% prediction interval, lower, Bootstrap","95% confidence interval, lower, Bootstrap","ypred, Bootstrap","95% confidence interval, upper, Bootstrap","95% prediction interval, upper, Bootstrap","95% prediction interval, lower, NASATeam","95% confidence interval, lower, NASATeam","ypred, NASATeam","95% confidence interval, upper, NASATeam","95% prediction interval, upper, NASATeam"
cmip5 excluding (siarea clim)>(cmip6 max),rcp26,20,SIAhist Feb,dSIA Feb,0.02,1.1,3.71,1.12,-1.16,-0.28,0.33,0.38,0.51,0,-0.01,-0.24,-1.18,-0.77,-0.58,-0.39,0.03,-1.11,-0.68,-0.51,-0.34,0.09
cmip5,rcp26,24,SIAhist Feb,dSIA Feb,0.02,1.87,6.76,2.07,-1.24,-0.28,0.53,0.44,0.16,0.05,-0.12,-0.09,-1.21,-0.5,-0.32,-0.14,0.56,-1.18,-0.48,-0.3,-0.12,0.58
cmip6,ssp126,25,SIAhist Feb,dSIA Feb,0.01,1.19,3.95,1.04,-1.77,-0.43,0.38,0.49,0.34,0,-0.1,-0.27,-1.61,-0.99,-0.74,-0.49,0.14,-1.53,-0.88,-0.66,-0.45,0.2
cmip5,rcp26,24,SIAhist Sep,dSIA Sep,4.8,14.77,20.03,4.37,-4.41,-1.31,2.49,1.64,0.17,0.04,0.98,-0.16,-4.83,-2.29,-1.59,-0.89,1.65,-4.53,-1.95,-1.3,-0.65,1.93
cmip6,ssp126,25,SIAhist Sep,dSIA Sep,3.26,13.33,19.93,4.02,-7.38,-1.82,0.69,1.88,0.11,0.1,0.28,-0.16,-6.19,-3.29,-2.33,-1.36,1.54,-5.85,-2.82,-2.03,-1.24,1.79
cmip5 excluding (siarea clim)>(cmip6 max),rcp45,28,SIAhist Feb,dSIA Feb,0.02,1.07,3.8,1.1,-1.82,-0.43,0.12,0.5,0.61,0,-0.04,-0.36,-1.56,-1.06,-0.88,-0.69,-0.19,-1.46,-0.95,-0.78,-0.61,-0.1
cmip5,rcp45,33,SIAhist Feb,dSIA Feb,0.02,1.77,6.76,1.98,-1.9,-0.52,0.12,0.59,0.49,0,-0.15,-0.21,-1.51,-0.79,-0.63,-0.48,0.25,-1.46,-0.73,-0.58,-0.43,0.3
cmip6,ssp245,27,SIAhist Feb,dSIA Feb,0.01,1.12,3.95,1.01,-1.9,-0.65,0.07,0.6,0.71,0,-0.09,-0.5,-1.96,-1.45,-1.25,-1.05,-0.54,-1.82,-1.3,-1.12,-0.94,-0.42
cmip5,rcp45,33,SIAhist Sep,dSIA Sep,4.8,14.36,20.03,4.32,-6.23,-1.96,2.6,1.87,0.18,0.01,0.65,-0.18,-5.94,-3.05,-2.36,-1.68,1.21,-5.58,-2.63,-2.02,-1.41,1.54
cmip6,ssp245,27,SIAhist Sep,dSIA Sep,3.26,13.85,19.93,4.02,-10.61,-3.19,0.16,2.2,0.29,0,0.88,-0.29,-7.98,-4.89,-3.98,-3.08,0.01,-7.4,-4.2,-3.44,-2.67,0.53
cmip5 excluding (siarea clim)>(cmip6 max),rcp85,29,SIAhist Feb,dSIA Feb,0.02,1.12,3.8,1.11,-2.76,-0.78,-0.02,0.78,0.85,0,-0.06,-0.65,-2.21,-1.73,-1.56,-1.38,-0.91,-2.03,-1.54,-1.39,-1.23,-0.74
CMIP5 group1 ice loss,rcp85,9,SIAhist Feb,Exceedance year Feb,0.07,0.37,0.66,0.2,1960,2046.89,2086,41.67,0.59,0.02,1987.53,160.52,,,,,,,,,,
