initial,change
0.50778,0.27634
0.53779,0.38905
0.604,0.22243
0.60853,0.23215
0.67218,0.22741
0.67233,0.09435
0.67514,0.19511
0.67942,0.1597
0.67945,0.24296
0.68717,0.1807
0.68974,0.16086
0.71074,0.1476
0.71765,0.25887
0.72408,0.20595
0.72792,0.17092
0.73789,0.26896
0.76946,0.14364
0.77032,0.13702
0.78513,0.13895
0.79105,0.15528
0.7986,0.14127
0.79946,0.05528
0.80665,0.13698
0.81172,0.16226
0.82064,0.07471
0.83069,0.10738
0.8313,0.13461
0.83507,0.08753
0.85391,0.16921
0.87505,0.10149
0.91989,0.10143
0.95079,0.01386
0.95594,-0.02778
0.96679,0.06714
0.97327,0.02394
0.99458,0.06633
0.99684,-0.0893
1.00079,-0.0255
1.02194,0.06785
1.02779,-0.00919
